Name	Start	Duration	Time Format	Type	Description
Marcador 27	0:01.533	0:00.000	decimal	Cue	
Marcador 28	0:01.784	0:00.000	decimal	Cue	
Marcador 29	0:01.974	0:00.000	decimal	Cue	
Marcador 30	0:05.053	0:00.000	decimal	Cue	
Marcador 31	0:05.293	0:00.000	decimal	Cue	
Marcador 32	0:05.523	0:00.000	decimal	Cue	
Marcador 33	0:08.419	0:00.000	decimal	Cue	
Marcador 34	0:08.653	0:00.000	decimal	Cue	
Marcador 35	0:08.839	0:00.000	decimal	Cue	
Marcador 36	0:11.878	0:00.000	decimal	Cue	
Marcador 37	0:12.113	0:00.000	decimal	Cue	
Marcador 38	0:12.339	0:00.000	decimal	Cue	
Marcador 39	0:15.413	0:00.000	decimal	Cue	
Marcador 40	0:15.688	0:00.000	decimal	Cue	
Marcador 41	0:16.063	0:00.000	decimal	Cue	
Marcador 42	0:18.873	0:00.000	decimal	Cue	
Marcador 43	0:19.119	0:00.000	decimal	Cue	
Marcador 44	0:19.383	0:00.000	decimal	Cue	
Marcador 45	0:21.719	0:00.000	decimal	Cue	
Marcador 46	0:21.948	0:00.000	decimal	Cue	
Marcador 47	0:23.193	0:00.000	decimal	Cue	
Marcador 48	0:23.403	0:00.000	decimal	Cue	
Marcador 49	0:23.649	0:00.000	decimal	Cue	
Marcador 71	0:23.824	0:00.000	decimal	Cue	
Marcador 50	0:23.863	0:00.000	decimal	Cue	
Marcador 51	0:24.723	0:00.000	decimal	Cue	
Marcador 52	0:25.018	0:00.000	decimal	Cue	
Marcador 53	0:25.303	0:00.000	decimal	Cue	
Marcador 54	0:25.814	0:00.000	decimal	Cue	
Marcador 72	0:27.973	0:00.000	decimal	Cue	
Marcador 73	0:28.183	0:00.000	decimal	Cue	
Marcador 74	0:28.373	0:00.000	decimal	Cue	
Marcador 75	0:29.783	0:00.000	decimal	Cue	
Marcador 76	0:29.990	0:00.000	decimal	Cue	
Marcador 77	0:30.268	0:00.000	decimal	Cue	
Marcador 78	0:30.549	0:00.000	decimal	Cue	
Marcador 79	0:30.919	0:00.000	decimal	Cue	
Marcador 80	0:31.593	0:00.000	decimal	Cue	
Marcador 81	0:31.904	0:00.000	decimal	Cue	
Marcador 83	0:32.188	0:00.000	decimal	Cue	
Marcador 84	0:34.733	0:00.000	decimal	Cue	
Marcador 85	0:34.998	0:00.000	decimal	Cue	
